log_id,user_id,department,timestamp,resource_accessed,action,data_volume_mb,resource_sensitivity,is_planted_anomaly,anomaly_reason
4300,EMP034,IT_Admin,2026-06-11 09:36:55.052553,Server_Logs,download,2.51,10,0,
3360,EMP028,Marketing,2026-06-11 09:37:10.052553,Social_Media_Tools,view,1.98,4,0,
2439,EMP021,Engineering,2026-06-11 09:37:34.052553,CI_CD_Pipeline,edit,0.72,6,0,
4620,EMP036,HR,2026-06-11 09:38:21.052553,Employee_Records,edit,0.49,9,0,
1123,EMP009,Finance,2026-06-11 09:39:04.052553,Payroll_DB,edit,1.47,9,0,
4614,EMP036,HR,2026-06-11 09:39:38.052553,Recruitment_System,edit,1.16,9,0,
4054,EMP033,Sales,2026-06-11 09:39:40.052553,CRM_System,view,0.04,6,0,
470,EMP004,HR,2026-06-11 09:39:46.052553,Recruitment_System,edit,0.43,9,0,
354,EMP003,Engineering,2026-06-11 09:40:07.052553,CI_CD_Pipeline,download,3.42,6,0,
5325,EMP039,Engineering,2026-06-11 09:40:54.052553,Bug_Tracker,edit,0.12,6,0,
4884,EMP037,Finance,2026-06-11 09:41:15.052553,Invoice_System,view,4.52,9,0,
133,EMP002,Finance,2026-06-11 09:42:01.052553,Payroll_DB,edit,4.27,9,0,
4515,EMP035,Finance,2026-06-11 09:42:23.052553,Budget_Sheets,edit,0.12,9,0,
3692,EMP030,Finance,2026-06-11 09:43:11.052553,Invoice_System,download,0.68,9,0,
1125,EMP009,Finance,2026-06-11 09:43:19.052553,Payroll_DB,view,0.77,9,0,
1937,EMP016,Marketing,2026-06-11 09:43:26.052553,Social_Media_Tools,view,2.16,4,0,
3359,EMP028,Marketing,2026-06-11 09:43:29.052553,CRM_System,view,0.22,4,0,
130,EMP002,Finance,2026-06-11 09:43:51.052553,Budget_Sheets,edit,1.73,9,0,
4885,EMP037,Finance,2026-06-11 09:43:57.052553,Invoice_System,view,1.11,9,0,
1504,EMP013,Sales,2026-06-11 09:48:19.052553,Pricing_Sheets,edit,0.03,6,0,
5771,EMP043,IT_Admin,2026-06-11 09:48:22.052553,All_Systems_Console,edit,0.23,10,0,
2150,EMP017,Marketing,2026-06-11 09:48:32.052553,Analytics_Portal,download,17.02,4,0,
1634,EMP014,IT_Admin,2026-06-11 09:49:31.052553,Backup_System,view,0.36,10,0,
473,EMP004,HR,2026-06-11 09:49:36.052553,Performance_Reviews,edit,0.84,9,0,
2692,EMP023,Finance,2026-06-11 09:50:24.052553,Budget_Sheets,view,0.4,9,0,
6399,EMP047,HR,2026-06-11 09:51:06.052553,Recruitment_System,edit,0.61,9,0,
3689,EMP030,Finance,2026-06-11 09:52:52.052553,Budget_Sheets,view,0.02,9,0,
6575,EMP049,HR,2026-06-11 09:54:08.052553,Recruitment_System,edit,0.56,9,0,
3868,EMP031,Engineering,2026-06-11 09:54:10.052553,Bug_Tracker,download,0.11,6,0,
4303,EMP034,IT_Admin,2026-06-11 09:56:26.052553,All_Systems_Console,edit,0.45,10,0,
3688,EMP030,Finance,2026-06-11 09:56:49.052553,Invoice_System,view,0.87,9,0,
3989,EMP032,Sales,2026-06-11 09:57:50.052553,CRM_System,view,2.79,6,0,
4616,EMP036,HR,2026-06-11 09:58:02.052553,Recruitment_System,edit,0.24,9,0,
3990,EMP032,Sales,2026-06-11 09:58:04.052553,Pricing_Sheets,view,0.06,6,0,
2583,EMP022,HR,2026-06-11 09:58:56.052553,Payroll_DB,view,0.09,9,0,
1443,EMP012,Sales,2026-06-11 09:59:28.052553,Sales_Dashboard,edit,1.48,6,0,
1329,EMP011,HR,2026-06-11 10:00:02.052553,Performance_Reviews,edit,0.29,9,0,
2198,EMP018,Engineering,2026-06-11 10:01:37.052553,Cloud_Infra_Console,edit,1.58,6,0,
1943,EMP016,Marketing,2026-06-11 10:01:59.052553,Campaign_Dashboard,download,0.25,4,0,
3061,EMP026,Sales,2026-06-11 10:04:15.052553,Customer_Contracts,view,0.1,6,0,
6031,EMP045,IT_Admin,2026-06-11 10:04:53.052553,Server_Logs,view,4.65,10,0,
4305,EMP034,IT_Admin,2026-06-11 10:06:37.052553,All_Systems_Console,view,0.45,10,0,
1019,EMP008,Sales,2026-06-11 10:06:57.052553,Pricing_Sheets,edit,1.0,6,0,
5774,EMP043,IT_Admin,2026-06-11 10:07:29.052553,Server_Logs,edit,1.27,10,0,
1330,EMP011,HR,2026-06-11 10:09:23.052553,Employee_Records,view,0.86,9,0,
5323,EMP039,Engineering,2026-06-11 10:09:33.052553,Bug_Tracker,view,0.35,6,0,
469,EMP004,HR,2026-06-11 10:10:37.052553,Payroll_DB,view,0.82,9,0,
6202,EMP046,Sales,2026-06-11 10:11:39.052553,CRM_System,edit,0.33,6,0,
1325,EMP011,HR,2026-06-11 10:12:23.052553,Employee_Records,edit,0.39,9,0,
5322,EMP039,Engineering,2026-06-11 10:12:24.052553,Cloud_Infra_Console,view,0.54,6,0,
141,EMP002,Finance,2026-06-11 10:12:53.052553,Payroll_DB,edit,3.27,9,0,
6025,EMP045,IT_Admin,2026-06-11 10:13:03.052553,Backup_System,view,0.53,10,0,
1326,EMP011,HR,2026-06-11 10:13:07.052553,Payroll_DB,edit,2.28,9,0,
353,EMP003,Engineering,2026-06-11 10:14:21.052553,CI_CD_Pipeline,view,0.11,6,0,
1800,EMP015,IT_Admin,2026-06-11 10:14:53.052553,User_Access_Manager,edit,1.12,10,0,
2149,EMP017,Marketing,2026-06-11 10:15:48.052553,Campaign_Dashboard,view,0.28,4,0,
3552,EMP029,Finance,2026-06-11 10:16:11.052553,Tax_Records,view,1.2,9,0,
6577,EMP049,HR,2026-06-11 10:16:20.052553,Employee_Records,view,2.15,9,0,
2151,EMP017,Marketing,2026-06-11 10:17:03.052553,Social_Media_Tools,view,3.4,4,0,
4055,EMP033,Sales,2026-06-11 10:17:59.052553,Pricing_Sheets,edit,0.1,6,0,
4619,EMP036,HR,2026-06-11 10:18:41.052553,Payroll_DB,view,0.92,9,0,
1641,EMP014,IT_Admin,2026-06-11 10:18:41.052553,User_Access_Manager,view,0.97,10,0,
3691,EMP030,Finance,2026-06-11 10:19:59.052553,Tax_Records,view,1.87,9,0,
1327,EMP011,HR,2026-06-11 10:20:00.052553,Payroll_DB,edit,2.31,9,0,
2438,EMP021,Engineering,2026-06-11 10:20:24.052553,Source_Code_Repo,view,0.45,6,0,
6032,EMP045,IT_Admin,2026-06-11 10:20:45.052553,Backup_System,edit,0.6,10,0,
6398,EMP047,HR,2026-06-11 10:22:22.052553,Employee_Records,edit,0.04,9,0,
3062,EMP026,Sales,2026-06-11 10:23:53.052553,Sales_Dashboard,view,0.37,6,0,
5868,EMP044,IT_Admin,2026-06-11 10:24:00.052553,Server_Logs,view,0.09,10,0,
4875,EMP037,Finance,2026-06-11 10:25:05.052553,Payroll_DB,download,7.11,9,0,
1633,EMP014,IT_Admin,2026-06-11 10:25:36.052553,All_Systems_Console,view,0.4,10,0,
3178,EMP027,Finance,2026-06-11 10:26:19.052553,Tax_Records,edit,1.24,9,0,
2789,EMP024,Marketing,2026-06-11 10:26:24.052553,Social_Media_Tools,edit,3.21,4,0,
3361,EMP028,Marketing,2026-06-11 10:26:48.052553,CRM_System,edit,3.26,4,0,
6200,EMP046,Sales,2026-06-11 10:26:57.052553,CRM_System,view,0.17,6,0,
4883,EMP037,Finance,2026-06-11 10:27:02.052553,Budget_Sheets,edit,0.9,9,0,
2440,EMP021,Engineering,2026-06-11 10:27:20.052553,Cloud_Infra_Console,edit,0.67,6,0,
2310,EMP020,Marketing,2026-06-11 10:28:08.052553,Analytics_Portal,edit,0.53,4,0,
4306,EMP034,IT_Admin,2026-06-11 10:30:02.052553,Backup_System,edit,0.67,10,0,
6206,EMP046,Sales,2026-06-11 10:31:39.052553,Customer_Contracts,view,1.4,6,0,
4059,EMP033,Sales,2026-06-11 10:33:43.052553,Sales_Dashboard,view,0.08,6,0,
4618,EMP036,HR,2026-06-11 10:34:27.052553,Recruitment_System,view,1.3,9,0,
1801,EMP015,IT_Admin,2026-06-11 10:35:39.052553,All_Systems_Console,view,1.43,10,0,
3695,EMP030,Finance,2026-06-11 10:35:53.052553,Budget_Sheets,edit,0.48,9,0,
471,EMP004,HR,2026-06-11 10:36:02.052553,Employee_Records,view,0.03,9,0,
2581,EMP022,HR,2026-06-11 10:37:24.052553,Employee_Records,edit,0.22,9,0,
2312,EMP020,Marketing,2026-06-11 10:38:06.052553,Campaign_Dashboard,view,0.16,4,0,
4060,EMP033,Sales,2026-06-11 10:38:27.052553,Customer_Contracts,edit,1.72,6,0,
2442,EMP021,Engineering,2026-06-11 10:38:37.052553,CI_CD_Pipeline,view,0.78,6,0,
1502,EMP013,Sales,2026-06-11 10:40:34.052553,Customer_Contracts,view,0.36,6,0,
467,EMP004,HR,2026-06-11 10:40:35.052553,Recruitment_System,view,0.28,9,0,
1639,EMP014,IT_Admin,2026-06-11 10:41:05.052553,Server_Logs,view,1.4,10,0,
472,EMP004,HR,2026-06-11 10:41:49.052553,Recruitment_System,edit,0.14,9,0,
4873,EMP037,Finance,2026-06-11 10:42:05.052553,Invoice_System,edit,0.52,9,0,
4301,EMP034,IT_Admin,2026-06-11 10:42:19.052553,All_Systems_Console,edit,0.47,10,0,
4062,EMP033,Sales,2026-06-11 10:44:18.052553,Customer_Contracts,edit,1.15,6,0,
4879,EMP037,Finance,2026-06-11 10:48:25.052553,Budget_Sheets,edit,5.43,9,0,
5319,EMP039,Engineering,2026-06-11 10:50:07.052553,CI_CD_Pipeline,edit,0.76,6,0,
3181,EMP027,Finance,2026-06-11 10:50:31.052553,Budget_Sheets,view,1.53,9,0,
2311,EMP020,Marketing,2026-06-11 10:53:10.052553,Campaign_Dashboard,edit,0.54,4,0,
5455,EMP040,IT_Admin,2026-06-11 10:53:20.052553,All_Systems_Console,view,0.18,10,0,
131,EMP002,Finance,2026-06-11 10:53:29.052553,Invoice_System,download,6.12,9,0,
6204,EMP046,Sales,2026-06-11 10:54:21.052553,CRM_System,view,0.81,6,0,
1635,EMP014,IT_Admin,2026-06-11 10:54:46.052553,All_Systems_Console,view,1.15,10,0,
4615,EMP036,HR,2026-06-11 10:55:01.052553,Payroll_DB,view,0.06,9,0,
4057,EMP033,Sales,2026-06-11 10:57:20.052553,Customer_Contracts,view,0.1,6,0,
2441,EMP021,Engineering,2026-06-11 10:59:50.052553,CI_CD_Pipeline,view,0.87,6,0,
474,EMP004,HR,2026-06-11 11:01:31.052553,Recruitment_System,edit,0.22,9,0,
2796,EMP024,Marketing,2026-06-11 11:01:34.052553,CRM_System,view,1.81,4,0,
3550,EMP029,Finance,2026-06-11 11:05:47.052553,Payroll_DB,edit,0.39,9,0,
2437,EMP021,Engineering,2026-06-11 11:07:36.052553,Cloud_Infra_Console,view,0.63,6,0,
4311,EMP034,IT_Admin,2026-06-11 11:08:10.052553,User_Access_Manager,download,10.48,10,0,
6572,EMP049,HR,2026-06-11 11:11:16.052553,Performance_Reviews,view,0.16,9,0,
3057,EMP026,Sales,2026-06-11 11:16:16.052553,CRM_System,edit,2.14,6,0,
135,EMP002,Finance,2026-06-11 11:16:24.052553,Tax_Records,view,1.5,9,0,
6569,EMP049,HR,2026-06-11 11:17:21.052553,Performance_Reviews,edit,0.49,9,0,
6029,EMP045,IT_Admin,2026-06-11 11:20:19.052553,User_Access_Manager,view,1.19,10,0,
3986,EMP032,Sales,2026-06-11 11:26:44.052553,CRM_System,view,0.1,6,0,
